event_descriptor,keyword,start_date,end_date,peak,station_number,local_health_area_name,local_health_area_code,fsa
"Intense rainfall, atmospheric rivers",pemberton,2003-10-14,2003-10-29,2003-10-18,08MG025,Howe Sound,335,V0N
"Intense rainfall, atmospheric rivers",kingcome,2003-09-17,,2003-09-25,08GF008,Vancouver Island North,434,V0P
rapid snowmelt,nazko,2018-04-05,2018-06-21,2018-04-30,08KE016,Quesnel,521,V2J
rapid snowmelt,bulkley,2007-04-06,2007-09-30,2007-06-08,08EE004,Smithers,514,V0J
ice jam,prince george,2007-12-11,2008-02-07,,08JC002,Prince George,524,V2K
ice jam,smithers,2015-12-27,,,08EE005,Smithers,514,V0J
multiple drivers,okanagan lake,2017-03-15,2017-09-09,2017-06-10,08NM083,Vernon; Central Okanagan; Southern Okanagan; Pentiction; Summerland; ,,
